name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Sodade,293640,False,62,Cesária Evora,Miss Perfumado,0.575,0.43,8,-13.168,0.0363,0.822,0.000661,0.115,0.427,82.691,4.0,iranian
Thirty One,231000,False,0,Farzad Golpayegani,Two,0.28,0.908,11,-3.774,0.0878,0.00543,0.88,0.113,0.21,142.85,3.0,iranian
The Wind,504000,False,0,Siavash Amini,What Wind Whispered To The Trees,0.0619,0.438,7,-15.156,0.0886,0.843,0.914,0.691,0.0366,70.691,4.0,iranian
We Were in the Backseat,412116,False,9,Crows in the Rain,"You Walked with Me Then, Before Night or Day",0.133,0.108,4,-23.546,0.0364,0.944,0.932,0.0774,0.0336,79.297,4.0,iranian
Precious Love,295239,False,32,Chris Tomlin,Always,0.395,0.389,3,-7.506,0.0266,0.702,1.41e-06,0.101,0.129,74.738,3.0,iranian
The First Convolution,400177,False,6,Alphaxone;Dronny Darko,Forsaken,0.0716,0.376,1,-21.674,0.0758,0.869,0.943,0.103,0.0352,79.104,4.0,iranian
The Light Tears Apart,256687,False,0,Shivered,Journey to Fade,0.443,0.932,4,-5.086,0.0715,2.47e-05,0.00178,0.375,0.454,159.935,4.0,iranian
Close,350316,False,6,Alphaxone,Absence of Motion,0.0651,0.205,0,-22.915,0.038,0.979,0.958,0.105,0.0355,67.658,5.0,iranian
Zahir - Instrumental Version,277577,False,0,Integral Rigor,Alast (Instrumental Version),0.246,0.889,7,-4.024,0.0863,4.34e-05,0.792,0.0923,0.21,105.015,4.0,iranian
Monophony,262713,False,0,Alireza Mashayekhi;National Symphony Orchestra of Ukraine;Vladimir Sirenko,"Symphony, No. 1, Op. 7",0.427,0.0126,5,-21.903,0.128,0.874,0.0407,0.168,0.164,77.71,1.0,iranian
Dance of the Death,53780,False,0,Najand,Anarcho-Nihilist 13,0.233,0.975,8,-6.892,0.132,0.409,0.975,0.23,0.0397,122.636,3.0,iranian
Denial,257516,False,0,Deathtune,Insanity,0.296,0.996,11,-2.65,0.235,5.47e-06,0.00212,0.0446,0.213,113.192,5.0,iranian
Symratik,148000,False,0,Ixuol,Abstraction In High Fidelity,0.421,0.547,9,-7.14,0.0441,0.568,0.87,0.122,0.0544,125.3,5.0,iranian
Intek,330000,False,1,Ixuol,Abstraction In High Fidelity,0.363,0.319,9,-13.795,0.0338,0.914,0.948,0.0687,0.0687,79.866,4.0,iranian
I'm trying but I can't reach you father,328737,False,6,Sote,Majestic Noise Made in Beautiful Rotten Iran,0.443,0.666,5,-13.252,0.0516,0.136,0.59,0.0987,0.0701,162.025,4.0,iranian
Perspective of Exorbitant,313536,False,0,Garhelenth,About Pessimistic Elements & Rebirth of Tragedy,0.0803,0.843,8,-7.09,0.0532,0.038,0.00315,0.287,0.188,81.062,3.0,iranian
Toom,339750,False,0,Rojin Sharafi,Zangaar,0.225,0.842,4,-7.636,0.11,0.644,0.243,0.0873,0.0398,93.808,3.0,iranian
Restless - Tomotsugu Nakamura Remix,320737,False,6,Porya Hatami;Tomotsugu Nakamura,Kani + Remixes,0.0794,0.176,4,-19.567,0.0373,0.895,0.946,0.114,0.148,62.321,3.0,iranian
Ghaaf Kaaf Gaaf,251000,False,0,Rojin Sharafi,Zangaar,0.293,0.743,11,-7.82,0.0725,0.386,7.85e-05,0.115,0.0874,106.629,3.0,iranian
To the Glorious Path,357694,True,0,Witness the Existence,Enshrined Twice,0.517,0.929,5,-3.409,0.0523,2.28e-05,0.914,0.314,0.366,119.974,3.0,iranian
Joghde Shab,48143,False,0,Najand,Spectre of Revolution,0.366,0.641,6,-5.148,0.045,0.884,0.000308,0.282,0.26,66.431,3.0,iranian
Dar Ghafas,47151,False,0,Najand,Spectre of Revolution,0.182,0.642,1,-3.204,0.0574,0.819,0.0395,0.333,0.17,121.625,5.0,iranian
Freedom Is Coming - Reimagined,154385,False,45,Hillsong Young & Free,Phenomena (DA DA) Remixes,0.63,0.702,8,-5.355,0.0365,0.0559,0.0,0.0709,0.453,101.997,4.0,iranian
Fall Afresh,264680,False,54,Bethel Music;Jeremy Riddle,The Loft Sessions,0.466,0.486,11,-10.731,0.0288,0.82,4.5e-05,0.156,0.186,136.949,4.0,iranian
The Plague 19,221440,False,0,Winterise,The Plague 19,0.464,0.939,4,-4.099,0.119,1.68e-05,0.0103,0.217,0.113,200.038,4.0,iranian
You Can't Tame The Beast!,336200,True,9,Confess,Revenge at All Costs,0.443,0.943,11,-5.945,0.0813,8.02e-06,0.818,0.148,0.416,99.98,4.0,iranian
