duration,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,n_beats,n_bars
237,15,0.48,0.879,3,-4.086,0.0353,0.0156,0.0151,0.271,0.492,142.938,554.0,136.0
210,51,0.518,0.44,3,-14.536,0.034,0.888,0.457,0.111,0.575,76.154,259.0,64.0
291,39,0.586,0.777,8,-11.313,0.0475,0.00206,0.808,0.136,0.716,125.023,598.0,149.0
211,51,0.522,0.962,6,-4.814,0.0765,0.00388,0.0528,0.406,0.415,146.392,515.0,128.0
239,37,0.744,0.771,6,-9.034,0.0892,0.608,0.052,0.103,0.661,149.822,591.0,147.0
246,54,0.697,0.628,6,-7.194,0.0362,0.418,0.0,0.373,0.741,119.99,489.0,122.0
168,45,0.491,0.611,9,-10.38,0.0391,0.45,0.000114,0.252,0.931,101.238,276.0,68.0
171,51,0.619,0.277,11,-11.771,0.0322,0.892,0.0542,0.116,0.435,111.576,298.0,73.0
180,23,0.351,0.946,2,-5.305,0.0868,0.000138,0.411,0.147,0.674,91.222,272.0,67.0
226,4,0.786,0.583,1,-7.988,0.042,0.0155,0.927,0.0893,0.446,89.048,333.0,82.0
222,23,0.87,0.737,11,-8.372,0.126,0.268,0.00369,0.0504,0.952,136.07,495.0,124.0
284,15,0.701,0.79,0,-10.226,0.0369,0.0101,0.000237,0.142,0.851,120.506,568.0,143.0
174,49,0.607,0.704,8,-6.567,0.0488,0.101,0.0,0.3,0.897,162.944,460.0,116.0
278,55,0.61,0.605,6,-12.484,0.0419,0.000925,0.157,0.344,0.458,87.953,403.0,100.0
143,21,0.681,0.795,7,-7.888,0.0744,0.0031,0.376,0.0732,0.357,173.558,415.0,103.0
166,23,0.716,0.723,2,-8.079,0.0475,0.0156,2.17e-06,0.119,0.634,171.947,468.0,117.0
204,19,0.889,0.383,11,-8.738,0.0362,0.562,7.37e-05,0.143,0.767,139.979,466.0,116.0
359,14,0.712,0.728,9,-8.818,0.0366,0.0867,0.142,0.107,0.965,115.967,689.0,172.0
195,18,0.606,0.914,5,-3.337,0.029,0.00457,5.36e-06,0.203,0.944,96.243,310.0,77.0
273,49,0.748,0.596,10,-8.222,0.0397,0.0111,0.833,0.0506,0.472,115.006,519.0,130.0
278,43,0.519,0.304,6,-11.456,0.0286,0.487,0.0,0.0821,0.43,139.868,630.0,158.0
170,25,0.802,0.622,1,-5.998,0.0713,0.0363,7.42e-06,0.448,0.245,84.0,233.0,57.0
416,25,0.49,0.82,5,-7.138,0.0684,0.799,0.0558,0.131,0.854,102.572,644.0,161.0
318,11,0.497,0.944,2,-5.403,0.0542,0.00565,0.158,0.0761,0.697,185.027,977.0,244.0
252,14,0.719,0.553,1,-12.137,0.0404,0.433,0.895,0.108,0.207,126.023,517.0,171.0
314,50,0.272,0.161,4,-13.479,0.0314,0.884,2.07e-05,0.12,0.221,102.972,480.0,121.0
285,56,0.426,0.432,0,-9.667,0.0353,0.844,8.79e-05,0.13,0.615,77.004,357.0,89.0
251,57,0.566,0.81,0,-5.235,0.0382,0.000543,0.000397,0.0975,0.258,124.885,515.0,129.0
275,20,0.484,0.457,9,-5.51,0.0293,0.747,0.0,0.144,0.275,135.766,608.0,152.0
103,25,0.506,0.538,0,-11.764,0.0619,0.805,1.09e-06,0.338,0.664,139.444,234.0,58.0
227,40,0.714,0.743,1,-3.494,0.0464,0.00168,2.81e-05,0.064,0.683,131.997,496.0,123.0
151,26,0.674,0.543,6,-8.021,0.0299,0.16,0.91,0.084,0.757,89.992,226.0,55.0
213,0,0.453,0.973,1,-4.242,0.148,0.00234,0.729,0.391,0.408,93.131,348.0,88.0
442,44,0.781,0.555,6,-10.598,0.0464,0.0149,0.943,0.0921,0.175,123.015,901.0,228.0
131,3,0.673,0.375,6,-10.266,0.0334,0.425,0.915,0.0974,0.085,99.995,218.0,54.0
197,12,0.72,0.243,11,-12.47,0.0352,0.95,0.000618,0.107,0.33,136.009,427.0,141.0
353,47,0.49,0.987,5,-2.913,0.0998,0.000708,0.11,0.0749,0.322,140.01,818.0,205.0
206,1,0.467,0.973,1,-3.084,0.0524,0.00021,1.65e-06,0.191,0.563,108.584,366.0,92.0
221,0,0.464,0.939,4,-4.099,0.119,1.68e-05,0.0103,0.217,0.113,200.038,728.0,183.0
243,49,0.636,0.906,1,-4.39,0.0402,0.202,3.99e-05,0.063,0.805,191.967,778.0,194.0
124,59,0.681,0.833,0,-6.248,0.0847,0.382,5.59e-06,0.391,0.725,117.54,234.0,58.0
322,57,0.445,0.476,9,-6.964,0.0268,0.21,0.000127,0.0788,0.17,75.208,403.0,101.0
338,6,0.489,0.984,7,-2.493,0.107,1.59e-05,0.878,0.0829,0.571,174.009,958.0,238.0
238,59,0.267,0.232,2,-14.365,0.0301,0.712,0.0,0.538,0.103,96.158,376.0,94.0
200,32,0.619,0.756,0,-9.764,0.118,0.318,0.0,0.141,0.702,112.366,376.0,94.0
297,52,0.319,0.67,4,-7.276,0.0998,0.501,0.0,0.219,0.332,137.539,674.0,169.0
154,21,0.731,0.815,10,-5.211,0.0305,0.599,3.09e-05,0.105,0.97,120.08,293.0,72.0
210,40,0.61,0.79,7,-4.373,0.0359,0.283,0.0,0.164,0.918,152.092,528.0,132.0
383,0,0.35,0.831,0,-9.522,0.0451,0.282,0.873,0.146,0.33,86.981,578.0,144.0
405,49,0.591,0.604,3,-8.625,0.0766,0.358,1.89e-05,0.0748,0.23,141.94,954.0,241.0
226,10,0.582,0.973,7,-3.916,0.0405,0.0114,0.184,0.278,0.911,142.041,530.0,132.0
180,36,0.788,0.775,4,-1.776,0.0331,0.577,0.0194,0.0506,0.942,130.012,386.0,97.0
204,43,0.597,0.902,0,-5.983,0.06,0.614,0.0,0.235,0.865,172.095,584.0,146.0
155,0,0.306,0.713,4,-8.131,0.0365,0.419,0.00875,0.319,0.673,174.229,444.0,111.0
151,20,0.239,0.9,9,-5.282,0.0751,0.43,0.0,0.0379,0.868,198.378,492.0,122.0
213,55,0.644,0.757,1,-8.204,0.0388,0.0677,0.864,0.103,0.0462,128.017,444.0,110.0
171,23,0.639,0.76,5,-6.006,0.03,0.125,0.000142,0.254,0.837,109.859,303.0,75.0
278,10,0.729,0.922,0,-3.441,0.0838,0.00186,0.815,0.0617,0.587,125.046,580.0,144.0
248,0,0.633,0.702,4,-9.523,0.0448,0.267,0.0,0.103,0.603,128.003,479.0,120.0
298,0,0.454,0.892,0,-7.687,0.0349,3.14e-05,0.903,0.101,0.0357,94.956,465.0,116.0
145,0,0.642,0.251,1,-13.259,0.0633,0.943,0.0013,0.265,0.111,127.024,302.0,75.0
308,0,0.625,0.718,6,-9.264,0.0417,0.0783,0.895,0.104,0.727,97.988,494.0,123.0
167,14,0.562,0.528,11,-14.256,0.0775,0.148,0.882,0.13,0.552,87.924,239.0,59.0
255,13,0.66,0.57,0,-8.677,0.0612,0.473,0.0,0.0687,0.808,120.104,512.0,127.0
84,20,0.691,0.363,5,-14.357,0.138,0.776,0.0,0.107,0.926,138.044,185.0,46.0
413,10,0.762,0.841,11,-7.631,0.0927,0.000418,0.781,0.166,0.266,134.986,922.0,232.0
224,21,0.687,0.962,6,-4.995,0.0397,0.0063,0.0,0.4,0.354,133.0,491.0,123.0
123,17,0.617,0.524,9,-10.465,0.0316,0.943,0.97,0.305,0.954,115.157,229.0,57.0
194,40,0.677,0.833,6,-3.52,0.0408,0.368,0.0,0.0715,0.816,174.027,561.0,139.0
337,0,0.119,0.916,6,-4.052,0.0573,1.2e-05,0.481,0.0578,0.136,154.964,832.0,208.0
208,0,0.503,0.421,11,-7.421,0.0315,0.00274,0.309,0.0818,0.298,121.928,417.0,103.0
99,45,0.799,0.484,11,-8.4,0.0907,0.722,0.916,0.0903,0.552,87.02,143.0,34.0
154,11,0.485,0.578,4,-9.5,0.0567,0.689,0.948,0.147,0.0623,142.012,357.0,118.0
187,0,0.462,0.659,2,-6.077,0.114,0.00282,0.0,0.273,0.358,186.149,571.0,143.0
